#ID,Type_MiKu,ItemType,EquipmentSlotType,Name [JA],Name [EN],Rarity,Grade,Physical Attack,Magical Attack,Range Distance,Special Performance,Durability,Hardness,Weight,Slash,Strike,Pierce,checkup,Bonus Tolerance,FIG,THI,MAG,PRI,SAM,NIN,BIS,LOR,CLO,ALC,Occupations,HP,MP,STR,VIT,DEX,AGI,INT,PIE,LUK,Poison,Paralysis,Stone,Faint,Blind,Sleep,Silent,Charm,Confus ,Fear,Fire Def,Water Def,Wind Def,Earth Def,Light Def,Dark Def,Fire Atk,Water Atk,Wind Atk,Earth Atk,Light Atk,Dark atk,Sellable,Tradable,NEW,Lootable,Blessable,Cursable,Lower Limit,Upper Limit,required_str,required_vit,required_dex,required_agi,required_int,required_pie,required_luk,required_soul_level,required_alignment,required_human,required_elf,required_dwarf,required_gnome,required_porkul,required_gender,When Equipped [JA],When equipped [EN],Positive Effect,Abnormal State [JA],Abnormal State [EN],Abnormal State [JA] (text),Abnormal State [EN] (text),Status Effect,Comment [JA],Comment [EN],Obtained [JA],Obtained [EN],Note [JA],Note [EN],Collation [JA],Collation [EN],Evidence,
100101,Head,HELMET,HEAD,レザーガード,Leather Guard,Normal,1,5,1,0,0,32,1,0.80,40,40,20,ok,-1,1,1,0,1,1,0,1,1,1,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100102,Head,HELMET,HEAD,ソリッドレザーガード,Solid Leather Guard,Normal,5,18,0,0,0,35,2,0.90,40,40,20,ok,-1,1,1,0,1,1,0,1,1,1,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100103,Head,HELMET,HEAD,テラーンヘルム,Gladiator Guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100104,Head,HELMET,HEAD,エルヴンガード,Elven Guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100105,Head,HELMET,HEAD,ヒーローガード,Hero Guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100106,Head,HELMET,HEAD,クライシスガード,Crisis Guard,Master,17,58,27,0,0,35,2,0.80,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,15,15,0,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,現在 MP による物理防御力上昇,Physical defense force increase by MP current,TRUE,,,,,0%,,,,,,,,,A,
100107,Head,HELMET,HEAD,ヘカトンガード,Hekaton Guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100108,Head,HELMET,HEAD,ウィンドガード,Windguard,Good,4,12,2,0,0,35,2,0.80,40,40,20,ok,32,1,1,0,1,1,1,1,1,1,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,E,
100109,Head,HELMET,HEAD,スペルガード,Spell Guard,Good,3,8,1,0,0,35,2,0.80,40,30,30,ok,-1,1,1,0,1,1,1,1,1,1,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100110,Head,HELMET,HEAD,頑丈なソリッドレザーガード,Sturdy Solid Leather Guard,Normal,7,25,4,0,0,32,2,0.80,40,40,20,ok,-1,1,1,0,1,1,1,1,1,1,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100111,Head,HELMET,HEAD,練達のレザーガード,Skillful Leather Guard,Normal,10,33,8,0,0,32,2,0.80,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
