#,#識別情報,,,,,,,,,,,,,,良/悪,任意にはずせるか,上書き効果,,,状態異常種別,,,,特殊エリアに表示,装備バフか,
#,#serialid,ゲーム内名称,,アイコンID,ログID,死亡時のログID,ステルス時ログID,エフェクトID,モーション停止,足跡無効,ブライトのライト,追加トレイル(物理系)エフェクトID,保険護符(装備),効果重複時ログID,,,,エフェクトログID,,,チェンジマップ時エフェクト再生無効,画面効果,アクションボタン強制有効,,,
#,#:6000個まで,通常時,ゲーム内説明,,,,,,,,,,,,,,,,付与効果時,,,,,,,
#,#,,,,,,自動計算,,,,,,,,,,,,,,,,,,,
#,1,,,,,,,,,,,,,,5,6,9,,,4,,,,,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
4,たいまつ,たいまつ,,,,,,,,1,,,1,GOOD,0,0,,,,,,,,,
9,無敵,,,,,,,,,,,,1,NONE,0,0,,,,,,,1,,
10,無敵,,105010,,,,,,,,,,1,NONE,0,0,,,,,,,1,,
11,抜刀禁止,<color PARAM_DN>抜刀禁止</color>,503002,,,,,,,,,,1,NONE,0,0,,,,,,,1,,
12,ソウルパートナー召喚禁止,<color PARAM_DN>ソウルパートナー召喚禁止</color>,105045,1,,1,,,,,,,1,NONE,0,0,,,,,,,1,,
13,アイテム使用禁止,<color PARAM_DN>アイテム使用禁止</color>,503002,1,,1,2,,,,,,1,NONE,0,0,,,,,,,1,,
14,アイテム自動収集,,,,,,,,,,,,1,NONE,0,0,,,,,,,,,
15,スキル使用禁止,<color PARAM_DN>スキル使用禁止</color>,503002,1,,1,,,,,,,1,NONE,0,0,,,,,,,1,,
16,暗闇,<color PARAM_DN>視界範囲縮小</color>,400010,8,,8,,,,,,,,NONE,0,0,,,,,1,,1,,
17,たいまつ,火は輝きを保っている,101008,1,,1,,,,,,,1,NONE,0,0,,,,,,,1,,
18,,,,,,,,,,,,,,NONE,0,1,,,,,,,,,
20,,,,,,,,,,,,,,NONE,0,0,,,,,,,,,
21,正気度,,505050,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
22,正気度,,505049,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
23,正気度,,505048,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
24,正気度,,505047,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
25,正気度,,505046,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
26,正気度,,505045,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
27,正気度,,505044,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
28,正気度,,505043,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
29,正気度,,505042,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
30,正気度,,505041,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
31,正気度,,505040,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
32,正気度,,505039,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
33,正気度,,505038,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
34,正気度,,505037,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
35,正気度,,505036,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
36,正気度,,505035,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
37,正気度,,505034,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
38,正気度,,505033,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
