#ID,Type,Name [JA],Name [EN],Rarity,Grade,Physical,Magical,Range Distance,Special Performance,Durability,Hardness,Weight,Slash,Strike,Pierce,checkup,Bonus Tolerance,FIG,THI,MAG,PRI,SAM,NIN,BIS,LOR,CLO,ALC,Occupations,HP,MP,STR,VIT,DEX,AGI,INT,PIE,LUK,Poison,Paralysis,Stone,Faint,Blind,Sleep,Silent,Charm,Confus ,Fear,Fire Def,Water Def,Wind Def,Earth Def,Light Def,Dark Def,Fire Atk,Water Atk,Wind Atk,地攻,光攻,闇攻,Sellable,Tradable,NEW,Lootable,Blessable,Cursable,Lower Limit,Upper Limit,Requirements,When Equipped [JA],When equipped [EN],Positive Effect,Abnormal State [JA],Abnormal State [EN],Abnormal State [JA] (text),Abnormal State [EN] (text),Status Effect,Comment [JA],Comment [EN],Obtained [JA],Obtained [EN],Note [JA],Note [EN],Collation [JA],Collation [EN],Evidence
100101,Head,レザーガード,Leather guard,Normal,1,5,1,0,0,32,1,0.80,40,40,20,ok,-1,1,1,0,1,1,0,1,1,1,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,,,,FALSE,,,,,0%,,,,,,,,,
100102,Head,ソリッドレザーガード,Solid leather guard,Normal,5,18,0,0,0,35,2,0.90,40,40,20,ok,-1,1,1,0,1,1,0,1,1,1,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 5,,,FALSE,,,,,0%,,,,,,,,,
100103,Head,テラーンヘルム,Teranherumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100104,Head,エルヴンガード,Elven guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100105,Head,ヒーローガード,Hero guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100106,Head,クライシスガード,Crisis guard,Master,17,58,27,0,0,35,2,0.80,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,15,15,0,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,,現在 MP による物理防御力上昇,Physical defense force increase by MP current,TRUE,,,,,0%,,,,,,,,,A
100107,Head,ヘカトンガード,Hekaton guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100108,Head,ウィンドガード,Wind guard,Good,4,12,2,0,0,35,2,0.80,40,40,20,ok,32,1,1,0,1,1,1,1,1,1,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,"SR 4, INT 8",,,FALSE,,,,,0%,,,,,,,,,E
100109,Head,スペルガード,Spelling guard,Good,3,8,1,0,0,35,2,0.80,40,30,30,ok,-1,1,1,0,1,1,1,1,1,1,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,"SR 3, INT 12",,,FALSE,,,,,0%,,,,,,,,,A
100110,Head,頑丈なソリッドレザーガード,Sturdy solid leather guard,Normal,7,25,4,0,0,32,2,0.80,40,40,20,ok,-1,1,1,0,1,1,1,1,1,1,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 7,,,FALSE,,,,,0%,,,,,,,,,A
